Timestamp,Layer,DataType,X,Y,Z,Yaw,Roll,Pitch
2025-10-13 21:34:37.680179,5,Raw_Data,-117.05,None,-110.0,-20.05,-1.5,-1.5
2025-10-13 21:34:38.681879,5,Raw_Data,-117.05,None,-110.0,-20.05,-1.5,-1.5
2025-10-13 21:34:39.683720,5,Raw_Data,-50.0,None,-200.0,99.9,10.0,10.0
2025-10-13 21:34:39.887779,5,Filter_Data,-94.7,None,-140.0,None,None,None
2025-10-13 21:34:39.887862,5,Golden_Value,84.6,None,-77.6,None,None,None
2025-10-13 21:34:39.887877,5,Compensate_Value,179.3,None,-31.200000000000003,None,None,None
2025-10-13 21:34:40.309033,5,Current_Pose,0.0,0.0,0,0.0,None,None
2025-10-13 21:34:40.309153,5,Z_Compensate,None,None,-31.200000762939453,None,None,None
2025-10-13 21:34:40.309168,5,Target_Pose,0.0,0.0,-31.200000762939453,0.0,None,None
